pmid,title,authors,journal,year,doi,abstract,sources,europepmc_id,openalex_id,scopus_id,cited_by_count,citations_per_year,sample_rank
28128982,"Social Support, Insomnia, and Adherence to Cognitive Behavioral Therapy for Insomnia After Cancer Treatment.",Kamen C.; Garland S.N.; Heckler C.E.; Peoples A.R.; Kleckner I.R.; Cole C.L.; Perlis M.L.; Morrow G.R.; Mustian K.M.; Roscoe J.A.,Behavioral Sleep Medicine,2019,10.1080/15402002.2016.1276019,"Objective/Background: While cognitive-behavioral therapy for insomnia (CBT-I) has been shown to be efficacious in treating cancer survivors’ insomnia, 30–60% of individuals have difficulty adhering to intervention components. Psychosocial predictors of adherence and response to CBT-I, such as social support, have not been examined in intervention studies for cancer survivors. Participants: Data from a randomized placebo-controlled 2 x 2 trial of CBT-I and armodafinil (a wakefulness promoting agent) were used to assess adherence. Ninety-six cancer survivors participated in the trial (mean age 56, 86% female, 68% breast cancer). Methods: CBT-I and armodafinil were administered over the course of seven weeks, and participants were assessed at baseline, during intervention, postintervention, and at a three-month follow-up. Social support was assessed using a Functional Assessment of Chronic Illness Therapy subscale, insomnia severity was assessed using the Insomnia Severity Index, and adherence was measured based on CBT-I sleep prescriptions. Results: At baseline, social support was negatively correlated with insomnia severity (r = –0.30, p = 0.002) and associations between social support, CBT-I, and insomnia were maintained through the three-month follow-up. Social support was positively associated with adherence to CBT-I during intervention weeks 3, 4, and 5, and with overall intervention adherence. At postintervention, both social support and treatment with CBT-I independently predicted decreased insomnia severity (p < 0.01) when controlling for baseline insomnia severity. Conclusions: Higher social support is associated with better intervention adherence and improved sleep independent of CBT-I. Additional research is needed to determine whether social support can be leveraged to improve adherence and response to CBT-I.",Europe PMC; Scopus,PMC5577382,,85010700240,25,3.1,46
34520280,"Generalized Anxiety Disorder 7-Item (GAD-7) Scores in Medically Authorized Cannabis Patients—Ontario and Alberta, Canada",Lee C.; Round J.M.; Hanlon J.G.; Hyshka E.; Dyck J.R.B.; Eurich D.T.,Canadian Journal of Psychiatry,2022,10.1177/07067437211043393,"Objectives: Despite increasing rates of legalization of medical cannabis worldwide, the current evidence available on its effect on mental health outcomes including anxiety is of mixed results. This study assesses the effect of medical cannabis on generalized anxiety disorder 7-item (GAD-7) scores in adult patients between 2014 and 2019 in Ontario and Alberta, Canada. Methods: An observational cohort study of adults authorized to use medical cannabis. The GAD-7 was administered at the time of the first visit to the clinic and subsequently over the follow-up time period of up to 3.2 years. Overall changes in GAD-7 scores were computed (mean change) and categorized as: no change (<1 point); improvement; or worsening—over time. Results: A total of 37,303 patients had initial GAD-7 scores recorded and 5,075 (13.6%) patients had subsequent GAD-7 follow-up scores. The average age was 54.2 years (SD 15.7 years), 46.0% were male, and 45.6% noted anxiety symptoms at the baseline. Average GAD-7 scores were 9.11 (SD 6.6) at the baseline and after an average of 282 days of follow-up (SD 264) the average final GAD-7 score recorded was 9.04 (SD 6.6): mean change −0.23 (95% CI, −0.28 to −0.17, t[5,074]: −8.19, p-value <0.001). A total of 4,607 patients (90.8%) had no change in GAD-7 score from their initial to final follow-up, 188 (3.7%) had a clinically significant decrease, and 64 (1.3%) noted a clinically significant increase in their GAD-7 scores. Conclusions: Overall, there was a statistically significant decrease in GAD-7 scores over time (in particular, in the 6–12-month period). However, this change did not meet the threshold to be considered clinically significant. Thus, we did not detect clinical improvements or detriment in GAD-7 scores in medically authorized cannabis patients. However, future well-controlled clinical trials are needed to fully examine risks or benefits associated with using medical cannabis to treat anxiety conditions.",Scopus,,,85114985668,24,4.8,47
,Intersectionality as an Analytic Framework for Understanding the Experiences of Mental Health Stigma Among Racialized Men,Morrow M.; Bryson S.; Lal R.; Hoong P.; Jiang C.; Jordan S.; Patel N.B.; Guruge S.,International Journal of Mental Health and Addiction,2020,10.1007/s11469-019-00140-y,"The objective of this research was to use intersectionality to explore Asian men’s experiences of stigma and mental illness to tease out the ways in which stigma of mental illness among Asian men is mediated by age, immigration experiences, sexual and gender identities, racism and racialization processes, normative expectations about masculinity, and material inequality. The data for this research are based on a 4-year, multi-site (Calgary, Vancouver, and Toronto) mixed-methods intervention study that evaluated the effectiveness of interventions in reducing self and social mental health stigma among Asian men (Livingston et al. International Journal of Social Psychiatry 64, 679-689, 2018; Guruge et al. Contemporary Clinical Trials 71, 133–139, 2018). Participants were Asian men living with or affected by mental illness and community leaders interested in stigma reduction and advocacy. Quantitative survey data captured participants’ self-reports of stigma, psychological flexibility, valued life domains, mindfulness, and empowerment readiness. Qualitative data included focus group transcripts, field notes, and participants’ logs about anti-stigma activities in their communities. The data analyzed here are from ten pre-intervention and seven post-intervention focus groups conducted at the Vancouver site. The data collected pre- and post-interventions revealed that men understand and experience stigma as inextricably linked to social location, specifically age, race, masculinity, ethnicity, and time of migration. Our analysis also revealed that mental health stigma cannot be understood in isolation of other social and structural barriers. The application of intersectional frameworks must figure prominently in psychological research and in public health policies that seek to reduce mental health stigma in racialized communities.",Scopus,,,85074687026,24,3.4,48
27335156,From Clozapine to Cognitive Remediation: A Review of Biological and Psychosocial Treatments for Violence in Schizophrenia,Quinn J.; Kolla N.J.,Canadian Journal of Psychiatry,2017,10.1177/0706743716656830,"Objective: Although a minority of persons with schizophrenia (SCZ) commits violent acts, SCZ remains a risk factor for violence. Here, we present a broad overview of evidence-based treatments for violence in SCZ, including biological and psychosocial interventions. Method: We conducted MEDLINE and PsychINFO literature searches to retrieve articles relating to treatments for violent, hostile, or aggressive behaviours in SCZ. Results: Clozapine shows the strongest evidence for treating the acute violence of SCZ. Other atypical antipsychotics also possess antiaggressive effects, although the evidence is not as robust as that for clozapine. Psychosocial treatments can be useful adjuncts to pharmacotherapy once patients' positive symptoms have stabilized. Cognitive behavioural therapy for psychosis and cognitive remediation are 2 psychosocial interventions that have demonstrated positive outcomes for violence in SCZ. Most psychosocial studies that examined violence as an outcome were conducted in forensic psychiatric settings. Conclusions: Effective treatments exist for persons with SCZ who pose a risk for violent and aggressive behaviour, although the overall evidence base remains relatively weak. More randomized controlled trials of programs showing evidence for reduction of violence in SCZ are required. Further research should delineate which patients could benefit from multimodal treatment and where and when such treatments are optimally delivered.",Scopus,,,85011573415,23,2.3,49
27754700,Effect of Aptensio XR (Methylphenidate HCl Extended-Release) Capsules on Sleep in Children with Attention-Deficit/Hyperactivity Disorder.,Owens J.; Weiss M.; Nordbrock E.; Mattingly G.; Wigal S.; Greenhill L.L.; Chang W.W.; Childress A.; Kupper R.J.; Adjei A.,Journal of Child and Adolescent Psychopharmacology,2016,10.1089/cap.2016.0083,"Objective: To evaluate measures of sleep (exploratory endpoints) in two pivotal studies of a multilayer bead extended-release methylphenidate (MPH-MLR) treatment of attention-deficit/hyperactivity disorder in children. Methods: Study 1 evaluated the time course of response to MPH-MLR (n = 26) patients in an analog classroom setting through four phases: screening (≤28 days), open label (OL) dose optimization (4 weeks), double-blind (DB) crossover (2 weeks; placebo vs. optimized dose), and follow-up call. Study 2 was a forced-dose parallel evaluation of MPH-MLR (n = 230) in four phases: screening (≤28 days), DB (1 week; placebo or MPH-MLR 10, 15, 20, or 40 mg/day), OL dose optimization (11 weeks), and follow-up call. Sleep was evaluated by parents using the Children's or Adolescent Sleep Habits Questionnaire (CSHQ or ASHQ) during the DB and OL phases. DB analysis: Study 1 (crossover), analysis of variance; Study 2, analysis of covariance. OL analysis: paired t-test. Results: DB: treatments were significantly different in Study 1 only for CSHQ Sleep Onset Delay (MPH-MLR, 1.90 vs. placebo, 1.34; p = 0.0046, placebo was better), and Study 2 for CSHQ Parasomnias (treatment, p = 0.0295), but no MPH-MLR treatment was different from placebo (pairwise MPH-MLR treatment to placebo, all p ≥ 0.170). OL: CSHQ total and Bedtime Resistance, Sleep Duration, Sleep Anxiety, Night Wakings, Parasomnias, and Sleep-disordered Breathing subscales decreased (improved, Study 1) significant only for CSHQ Night Wakings (p < 0.05); in Study 2 CSHQ total and Bedtime Resistance, Sleep Duration, Night Wakings, Parasomnias, and Daytime Sleepiness, and ASHQ total, Bedtime, Sleep Behavior, and Morning Waking all significantly improved (p < 0.05). Conclusions: In both studies, there was minimal negative impact of MPH-MLR on sleep during the brief DB phase and none during the longer duration OL phase. Some measures of sleep improved with optimized MPH-MLR dose.",Europe PMC; Scopus,PMC5178023,,85007148152,23,2.1,50
40238104,Cognitive Behavior Therapy for Mental Disorders in Adults: A Unified Series of Meta-Analyses.,Cuijpers Pim; Harrer Mathias; Miguel Clara; Ciharova Marketa; Papola Davide; Basic Djordje; Botella Cristina; Cristea Ioana; de Ponti Nino; Donker Tara; Driessen Ellen; Franco Pamela; Gómez-Gómez Irene; Hamblen Jessica; Jiménez-Orenga Noelia; Karyotaki Eirini; Keshen Aaron; Linardon Jake; Motrico Emma; Matbouriahi Minoo; Panagiotopoulou Olga M; Pfund Rory A; Plessen Constantin Yves; Riper Heleen; Schnurr Paula P; Sijbrandij Marit; Toffolo Marieke B J; Tong Lingyao; van Ballegooijen Wouter; van der Ven Els; van Straten Annemieke; Wang Yingying; Furukawa Toshi A,JAMA psychiatry,2025,10.1001/jamapsychiatry.2025.0482,"IMPORTANCE: Cognitive behavior therapy (CBT) is a first-line treatment for most mental disorders. However, no meta-analytic study has yet integrated the results of randomized clinical trials on CBT across different disorders, using uniform methodologies and providing a complete overview of the field. OBJECTIVE: To examine the effect sizes of CBT for 4 anxiety disorders, 2 eating disorders, major depression, obsessive-compulsive disorder (OCD), posttraumatic stress disorder (PTSD), and psychotic and bipolar disorders on symptoms of the respective disorders using uniform methodologies for data extraction, risk of bias (RoB) assessment, and meta-analytic techniques. DATA SOURCES: Major bibliographical databases (PubMed, PsycINFO, and Embase for all disorders) were searched up to January 1, 2024, for each disorder separately. Data analysis was performed from August 2024 to January 2025. STUDY SELECTION: Randomized clinical trials comparing CBT with inactive control conditions in adults with 1 of the mental disorders established through a clinical interview were included. DATA EXTRACTION AND SYNTHESIS: Basic characteristics of patients, CBT, and studies were extracted. RoB was assessed with the Cochrane RoB tool 2. Meta-analyses were conducted using random-effects models. MAIN OUTCOMES AND MEASURES: The primary outcome was the standardized mean difference (Hedges g) indicating the difference between CBT and controls at posttreatment on symptoms of the respective disorders. RESULTS: A total of 375 trials (423 comparisons) between CBT and controls were included among 32 968 patients. The overall mean (SD) patient age was 43.4 (13.7) years, and the mean (SD) proportion of women was 0.68 (0.24). Effect sizes for CBT compared to all control conditions (g) were lower than 0.5 for bipolar and psychotic disorder; between 0.5 and 1.0 for panic, social anxiety, and generalized anxiety disorders, bulimia nervosa, binge eating disorders, depression, and OCD; and larger than 1.0 for PTSD and specific phobias (range of effect sizes: 0.31 for bipolar disorder to 1.27 for PTSD). Large effect sizes (g > 0.94) were observed in waitlist-controlled trials, a control condition mostly used in anxiety and eating disorders, PTSD, and OCD. Trials using care as usual showed more modest effect sizes (0.22-1.13). Study dropout rates within the CBT conditions ranged from 8% for specific phobia to 24% for PTSD. CONCLUSIONS AND RELEVANCE: In this unified series of meta-analyses, CBT was probably effective in the treatment of mental disorders, including major depression, anxiety disorders, PTSD, OCD, and eating disorders, and possibly effective in psychotic and bipolar disorders. However, the effect sizes depended on the type of control condition.",Europe PMC; PubMed; Scopus,40238104,,105003320701,22,11.0,51
,Dementia with lewy bodies research consortia: A global perspective from the istaart lewy body dementias professional interest area working group,D’antonio F.; Kane J.P.M.; Ibañez A.; Lewis S.J.G.; Camicioli R.; Wang H.; Yu Y.; Zhang J.; Ji Y.; Borda M.G.; Kandadai R.M.; Babiloni C.; Bonanni L.; Ikeda M.; Boeve B.F.; Leverenz J.B.; Aarsland D.,Alzheimer S and Dementia Diagnosis Assessment and Disease Monitoring,2021,10.1002/dad2.12235,"Dementia with Lewy bodies (DLB) research has seen a significant growth in international collaboration over the last three decades. However, researchers face a challenge in identifying large and diverse samples capable of powering longitudinal studies and clinical trials. The DLB research community has begun to focus efforts on supporting the development and harmonization of consortia, while also continuing to forge networks within which data and findings can be shared. This article describes the current state of DLB research collaborations on each continent. We discuss several established DLB cohorts, many of whom have adopted a common framework, and identify emerg-ing collaborative initiatives that hold the potential to expand DLB networks and diver-sify research cohorts. Our findings identify geographical areas into which the global DLB networks should seek to expand, and we propose strategies, such as the cre-ation of data-sharing platforms and the harmonization of protocols, which may further potentiate international collaboration.",Scopus,,,85119688366,22,3.7,52
27727432,S-adenosyl methionine (SAMe) for depression in adults,Galizia I.; Oldani L.; Macritchie K.; Amari E.; Dougall D.; Jones T.N.; Lam R.W.; Massei G.J.; Yatham L.N.; Young A.H.,Cochrane Database of Systematic Reviews,2016,10.1002/14651858.cd011286.pub2,"Background: Depression is a recurrent illness with high rates of chronicity, treatment-resistance and significant economic impact. There is evidence in the literature that S-adenosyl methionine (SAMe), a naturally occurring compound in the human body, has antidepressant efficacy. This product may be an important addition to the armamentarium of antidepressant agents. Objectives: To assess the effects of SAMe in comparison with placebo or antidepressants for the treatment of depression in adults. Search methods: We searched the Cochrane Common Mental Disorders Group's Specialised Register (CCMDCTR Studies and Reference Register), MEDLINE, EMBASE, PsycINFO, international trial registers ClinicalTrials.gov and the World Health Organization trials portal (ICTRP). We checked reference lists, performed handsearching and contacted experts in the field. The CCMDCTR literature search was last updated on 5 February 2016. Selection criteria: Randomised controlled trials comparing SAMe with placebo or antidepressants in adults with a diagnosis of major depression. Data collection and analysis: Two authors independently performed extraction of data and assessment of risk of bias. We contacted trialists of included studies for additional information. Main results: This systematic review included eight trials comparing SAMe with either placebo, imipramine, desipramine or escitalopram. We accepted trials that used SAMe as monotherapy or as add-on therapy to selective serotonin reuptake inhibitors (SSRIs), and we accepted both oral and parenteral administration. The review involved 934 adults, of both sexes, from inpatient and outpatient settings. The trials were at low risk of reporting bias. We judged the risk of selection, performance, detection and attrition bias as unclear or low, and one study was at high risk of attrition bias. There was no strong evidence of a difference in terms of change in depressive symptoms from baseline to end of treatment between SAMe and placebo as monotherapy (standardised mean difference (SMD) -0.54, 95% confidence interval (CI) -1.54 to 0.46; P = 0.29; 142 participants; 2 studies; very low quality evidence). There was also no strong evidence of a difference in terms of drop-out rates due to any reason between SAMe and placebo, when used as monotherapy (risk ratio (RR) 0.88, 95% CI 0.61 to 1.29; P = 0.52; 142 participants; 2 studies; low quality evidence). Low quality evidence showed that the change in depressive symptoms from baseline to end of treatment was similar between SAMe and imipramine, both as monotherapy (SMD -0.04, 95% CI -0.34 to 0.27; P = 0.82; 619 participants; 4 studies). There was also no strong evidence of a difference between SAMe and a tricyclic antidepressant in terms of drop-outs due to any reason (RR 0.61, 95% CI 0.28 to 1.31; P = 0.2; 78 participants; 3 studies; very low quality evidence). There was little evidence of a difference in terms of change in depressive symptoms from baseline to end of treatment between SAMe and escitalopram, both as monotherapy (MD 0.12, 95% CI -2.75 to 2.99; P = 0.93; 129 participants; 1 study; low quality evidence). There was no strong evidence of a difference between SAMe and escitalopram in terms of drop-outs due to any reason (RR 0.81, 95% CI 0.57 to 1.16; P = 0.26; 129 participants; 1 study; low quality evidence). There was low quality evidence that SAMe is superior to placebo as add-on to SSRIs in terms of change in depressive symptoms from baseline to end of treatment (MD -3.90, 95% CI -6.93 to -0.87; P = 0.01; 73 participants; 1 study). There was no strong evidence of a difference between SAMe and placebo as adjunctive therapy to an SSRI in terms of drop-outs due to any reason (RR 0.70, 95% CI 0.31 to 1.56; P = 0.38; 73 participants; 1 study; very low quality evidence). For all comparisons, secondary outcome measures of response and remission rates were consistent with these primary outcome measures. With regard to all extractable measures of the acceptability of SAMe, the quality of the evidence was low to very low. SAMe was not different from placebo and established antidepressants. The exception was that compared to imipramine, fewer participants experienced troublesome adverse effects when treated with parenteral SAMe. The specific adverse effects were not detailed in most of the included studies. There were two reports of mania/hypomania recorded for 441 participants in the SAMe arm. Authors' conclusions: Given the absence of high quality evidence and the inability to draw firm conclusions based on that evidence, the use of SAMe for the treatment of depression in adults should be investigated further. Future trials should be in the form of large randomised controlled clinical trials of high methodological quality, with particular attention given to randomisation, allocation concealment, blinding and the handling of missing data. Comparator antidepressants from all classes should be used. Adverse events should be detailed for each participant, bearing in mind that induction of mania is of particular interest.",Scopus,,,84990950545,21,1.9,53
33204188,Prevalence and Factors Associated with Suicidal Ideation in Institutionalized Patients with Schizophrenia.,Chong B.T.W.; Wahab S.; Muthukrishnan A.; Tan K.L.; Ch’ng M.L.; Yoong M.T.,Psychology Research and Behavior Management,2020,10.2147/prbm.s266976,"Purpose: The shorter life expectancy and increased risk of suicide in patients with schizophrenia have been well documented. However, study outcomes on suicidality in this special population have been few to date. This study investigated the prevalence and factors associated with suicidal ideation in a population of institutionalized patients with schizophrenia. Methods: Two hundred fifty-six patients with schizophrenia between the age of 18 and 65 years were randomly recruited. This cross-sectional study utilised the Calgary Depression Scale for Schizophrenia (CDSS), the Positive and Negative Syndrome Scale (PANSS) and the Psychotic Symptom Rating Scale (PSYRATS-AH). Univariate analysis was performed using an independent t-test or chi-square test, followed by binary logistic regression to determine the factors associated with increased suicidal risks. Results: The socio-demographic factors associated with suicidal ideation included level of education (p=0.039); secondary-level education (OR=5.76, 95% CI:1.49, 22.34, p=0.011) and tertiary-level education (OR=9.30, 95% CI: 1.80, 48.12, p=0.008) posed a greater risk. A history of attempted suicide (OR=2.09, 95% CI: 1.01, 4.36, p=0.049) and the presence of comorbid physical illnesses (OR=2.07, 95% CI: 1.02, 4.21, p=0.044) were also found to be associated with a suicidal ideation. Other significant factors associated with suicidal thoughts were concurrent depression (OR=9.68, 95% CI: 3.74, 25.05, p<0.001) and a higher PSYRATS score in emotional characteristics of auditory hallucinations (OR=1.13, 95% CI: 1.06, 1.21, p<0.001). Conclusion: Suicide in schizophrenia appears to be more closely associated with certain socio-demographic factors and affective symptoms. Appropriate screening and treatment addressing these challenges must be emphasized if suicidal thoughts and actions are to be reduced.",Europe PMC; Scopus,PMC7667143,,85096003228,21,3.0,54
33835936,Effectiveness of Delivering Dialectical Behavioral Therapy Techniques by Email in Patients With Borderline Personality Disorder: Nonrandomized Controlled Trial.,Alavi N.; Stephenson C.; Rivera M.,Jmir Mental Health,2021,10.2196/27308,"Background: Borderline personality disorder is a debilitating and prevalent mental health disorder, with often inaccessible treatment options. Electronically delivered dialectical behavioral therapy could be an efficacious and more accessible intervention. Objective: We aimed to evaluate the efficacy of electronic delivery of dialectical behavioral therapy in the treatment of individuals with symptoms of borderline personality disorder. Methods: Study participants diagnosed with borderline personality disorder were offered either an email-based or in-person group format dialectical behavioral therapy skill-building program. During each session, participants were provided with both the material and feedback regarding their previous week's homework. Electronically delivered dialectical behavioral therapy protocol and content were designed to mirror in-person content. Participants were assessed using the Self-Assessment Questionnaire (SAQ) and Difficulties in Emotion Regulation Scale (DERS). Results: There were significant increases in SAQ scores from pre- to posttreatment in the electronic delivery group (F1,92=69.32, P<.001) and in-person group (F1,92=60.97, P<.001). There were no significant differences observed between the groups at preand posttreatment for SAQ scores (F1,92=.05, P=.83). There were significant decreases in DERS scores observed between preand posttreatment in the electronic delivery group (F1,91=30.15, P<.001) and the in-person group (F1,91=58.18, P<.001). There were no significant differences observed between the groups for DERS scores pre- and posttreatment (F1,91=.24, P=.63). There was no significant difference in treatment efficacy observed between the 2 treatment arms (P<.001). Conclusions: Despite the proven efficacy of in-person dialectical behavioral therapy in the treatment of borderline personality disorder, there are barriers to receiving this treatment. With the prevalence of internet access continuing to rise globally, delivering dialectical behavioral therapy with email may provide a more accessible alternative to treatment for individuals with borderline personality disorder without sacrificing the quality of care.",Europe PMC; Scopus,PMC8122286,,85105057526,20,3.3,55
32583707,"Feasibility and Impact of a Yoga Intervention on Cognition, Physical Function, Physical Activity, and Affective Outcomes among People Living with HIV: A Randomized Controlled Pilot Trial.",Quigley A.; Brouillette M.J.; Gahagan J.; O’Brien K.K.; MacKay-Lyons M.,Journal of the International Association of Providers of AIDS Care,2020,10.1177/2325958220935698,"The purpose of this pilot randomized controlled trial is to assess the feasibility and impact of a triweekly 12-week yoga intervention among people living with HIV (PLWH). Additional objectives included evaluating cognition, physical function, medication adherence, health-related quality of life (HRQoL), and mental health among yoga participants versus controls using blinded assessors. We recruited 22 medically stable PLWH aged ≥35 years. A priori feasibility criteria were ≥70% yoga session attendance and ≥70% of participants satisfied with the intervention using a postparticipation questionnaire. Two participants withdrew from the yoga group. Mean yoga class attendance was 82%, with 100% satisfaction. Intention-to-treat analyses (yoga n = 11, control n = 11) showed no within- or between-group differences in cognitive and physical function. The yoga group improved over time in HRQoL cognition (P = .047) with trends toward improvements in HRQoL health transition (P =.063) and depression (P = .055). This pilot study provides preliminary evidence of feasibility and benefits of yoga for PLWH.",Europe PMC; Scopus,PMC7318828,,85086863042,20,2.9,56
34052339,The model of care at a leading medical cannabis clinic in Canada,Prosk E.; Arboleda M.F.; Rapin L.; El Hage C.; Dworkind M.,Complementary Therapies in Medicine,2021,10.1016/j.ctim.2021.102740,"Medical cannabis access has been legalized in more than 30 countries worldwide and popularity among patients is increasing rapidly. Cannabinoid-based treatments have been shown to be beneficial for several symptoms such as chemotherapy-induced nausea and vomiting, spasticity, chronic pain, intractable seizures and insomnia, yet high-quality clinical trials are still limited. As millions of patients now have legal access to medical cannabis, little information is available about the development of best clinical practices and an effective medical cannabis clinic model. A medical cannabis clinic is an innovative and emergent practice model that may be necessary to bridge the gap between patient and healthcare provider interest and existing barriers to the prescription of medical cannabis treatments, such as limited medical education, lack of high-quality clinical research and challenging or evolving regulatory frameworks. In this paper, we describe the model of care and organization of a dedicated medical cannabis clinic operating in Quebec, Canada since 2014. We share the principles of medical cannabis practice, including the structure of its medical and support team, clinic organisation and procedure guidelines. Key clinic statistics and patient demographics are shared with year by year comparison. Operating since 2014, the clinic has endured a rapidly changing regulatory landscape in Canada, overcoming numerous challenges including medical and social stigma, limited funding, resources and institutional support combined with a high demand for services. To support medical cannabis leaders globally, an important knowledge-sharing is required. The clinic has expanded to a network of four clinic sites across Quebec and offers continuing education and preceptorships to health care providers and trainees as well as research services to both academic and industry partners. The description of the clinic offers guidance on medical cannabis treatment and care and discusses possible solutions to associated challenges. The clinic model of care can be adapted to different healthcare settings and regulatory frameworks; it may assist physicians and health care providers in the development of medical cannabis clinics or the implementation of best practices as medical cannabis access continues to evolve.",Scopus,,,85108070243,18,3.0,57
37607114,Transcranial pulse stimulation in the treatment of mild neurocognitive disorders,Fong T.K.H.; Cheung T.; Ngan S.T.J.; Tong K.; Lui W.Y.V.; Chan W.C.; Wong C.S.M.; Cheng C.P.W.,Annals of Clinical and Translational Neurology,2023,10.1002/acn3.51882,"Objective: There are limited effectiveness and potential side effects of existing pharmacological approach in treating mild neurocognitive disorder (NCD). Transcranial pulse stimulation (TPS) applies repetitive single high-pressure ultrashort shockwave pulses to stimulate the brain, which has been shown to effectively improve cognition in major NCD. However, the effectiveness of TPS in mild NCD patients remained unknown. This study aims to assess the effectiveness and tolerability of TPS with neuro-navigation in old-age adults with mild NCD by both clinical and biochemical assessments. Methods: An open-label study recruited older adults with mild NCD to receive neuro-navigated TPS intervention for two weeks with three sessions per week. Assessments included detailed cognitive assessments, APOE genotype, and brain-derived neurotrophic factor (BDNF). Results: Nineteen participants (12 females and 7 males) completed the whole TPS interventions with no serious adverse effects reported. Repeated measures ANOVA showed statistically significant effects of time on HK-MoCA (F (3, 54) = 4.99, P = 0.004), 30-sec interval of Verbal Fluency Test (F (3, 54) = 2.94, P = 0.041), Stroop interference (F (3, 54) = 3.46, P = 0.023), and Chinese IADL (F (3, 54) = 2.78, P = 0.050) after receiving the intervention. Bonferroni post hoc comparisons on HK-MoCA showed a significant improvement after intervention. There was no significant change in serum BDNF level. Interpretation: TPS has brought significant improvement in cognition of elderly with mild NCD. It has a great potential to delay the deterioration of cognition in older adults. The long-term effect of TPS in cognition would benefit from further large-scale, randomized, sham-controlled trials.",Scopus,,,85168567354,18,4.5,58
34213860,Effects of Mindfulness Training on Emotion Regulation in Patients With Depression: Reduced Dorsolateral Prefrontal Cortex Activation Indexes Early Beneficial Changes.,Barnhofer T.; Reess T.J.; Fissler M.; Winnebeck E.; Grimm S.; Gärtner M.; Fan Y.; Huntenburg J.M.; Schroeter T.A.; Gummersbach M.; Bajbouj M.; Hölzel B.K.,Psychosomatic Medicine,2021,10.1097/psy.0000000000000955,"Objective Mindfulness-based interventions (MBIs) have been found to be a promising approach for the treatment of recurrent courses of depression. However, little is known about their neural mechanisms. This functional magnetic resonance imaging study set out to investigate activation changes in corticolimbic regions during implicit emotion regulation. Methods Depressed patients with a recurrent lifetime history were randomized to receive a 2-week MBI (n = 16 completers) or psychoeducation and resting (PER; n = 22 completers). Before and after, patients underwent functional magnetic resonance imaging while labeling the affect of angry, happy, and neutral facial expressions and completed questionnaires assessing ruminative brooding, the ability to decenter from such thinking, and depressive symptoms. Results Activation decreased in the right dorsolateral prefrontal cortex (dlPFC) in response to angry faces after MBI (p  3.282; 56 mm3; Montreal Neurological Institute peak coordinate: 32, 24, 40), but not after PER. This change was highly correlated with increased decentring (r = -0.52, p =.033), decreased brooding (r = 0.60, p =.010), and decreased symptoms (r = 0.82, p =.005). Amygdala activation in response to happy faces decreased after PER (p <.01, family-wise error rate corrected; 392 mm3; Montreal Neurological Institute peak coordinate: 28, -4, -16), whereas the MBI group showed no significant change. Conclusions The dlPFC is involved in emotion regulation, namely, reappraisal or suppression of negative emotions. Decreased right dlPFC activation might indicate that, after the MBI, patients abstained from engaging in elaboration or suppression of negative affective stimuli; a putatively important mechanism for preventing the escalation of negative mood. Trial Registration: The study is registered at ClinicalTrials.gov (NCT02801513; 16/06/2016).",Europe PMC; Scopus,34213860,,85110148370,18,3.0,59
29149793,Improving Quality of Work life for Care Providers by Fostering the Emotional well-being of Persons with Dementia: A Cluster-randomized Trial of a Nursing Intervention in German long-term Care Settings.,Berendonk C.; Kaspar R.; Bär M.; Hoben M.,Dementia,2019,10.1177/1471301217698837,"We tested the feasibility of a nursing intervention (DEMIAN) in routine care and its effects on care providers' job satisfaction, motivation, and work strain. This cluster-randomized trial was conducted in 20 German long-term care facilities. We randomly assigned 20 facilities to an intervention group (84 care providers, 42 residents with dementia) or a control group (96 care providers, 42 residents with dementia). Intervention group providers received two training days on the intervention; 68 providers attended both training days. Sixty two providers completed both baseline and follow-up questionnaires. Trained providers created individualized mini-intervention plans for participating residents. Control group residents received 'usual care'. Intervention group providers stated that the intervention was feasible and helped them improve emotional well-being of residents with dementia. We found significantly decreased time pressure and decreased job dissatisfaction for intervention group providers. DEMIAN is an effective and pragmatic contribution to implementing person-centred care in long-term care, with positive effects on providers' working conditions.",Europe PMC; Scopus,29149793,,85058054093,18,2.2,60
