rank,pmid,doi,title,authors,journal,year,abstract,batch,reviewer1_decision,reviewer1_category,reviewer1_notes,reviewer2_decision,reviewer2_category,reviewer2_notes,final_decision
1027,26482056,10.1016/j.jamda.2015.08.019,A Randomized Placebo-Controlled Discontinuation Study of Cholinesterase Inhibitors in Institutionalized Patients With Moderate to Severe Alzheimer Disease.,Herrmann N.; O'Regan J.; Ruthirakuhan M.; Kiss A.; Eryavec G.; Williams E.; Lanctôt K.L.,Journal of the American Medical Directors Association,2016,"Objectives: Cholinesterase inhibitors (ChEIs) offer modest benefits in Alzheimer disease (AD), which must be balanced against risks. Relatively few data delineate the benefits and risks of long-term ChEI administration in institutionalized patients with advanced AD. This study investigated the effects of ChEI discontinuation in institutionalized patients with AD. Design: Institutionalized patients with moderate to severe AD (standardized Mini- Mental Status Examination ≤15) and treated with a ChEI for ≥2 years were randomized, double-blind, to ChEI continuation or placebo, with a 2-week tapering phase, for 8-weeks. Measurements: The primary outcome of this pilot study was change on the Clinician's Global Impression of Change (CGI-C) scale. Secondary outcomes included safety, efficacy, and tolerability. Baseline (BL) predictors of clinical deterioration were also determined. Results: Forty patients (mean ± standard deviation age = 89.3 ± 3.5 years, standardized Mini-Mental Status Examination = 8.1 ± 5.2, Neuropsychiatric Inventory-Nursing Home version total score = 21.1 ± 15.9, 80% male) were randomized to ChEI continuation (n = 21) or placebo (n = 19). There was no significant difference in clinical worsening in the ChEI continuation (28.6%) and placebo groups (36.8%) on CGI-C (odds ratio for worsening 1.58, 95% confidence interval .38-6.55, P = .53). The occurrence of adverse events was similar in both groups. There were no significant differences in any of the secondary outcome measures. In the placebo group, BL hallucinations predicted CGI-C worsening [F(1,17) = 6.4, P = .02], and there was a trend for BL delusions to predict CGI-C worsening [F(1,15) = 3.5, P = .08]. Conclusions: These results suggest that ChEI discontinuation is safe and well tolerated in the majority of institutionalized patients with moderate to severe AD. When discontinuing ChEI, the presence of hallucinations and delusions may predict clinical deterioration, suggesting the need for increased caution.",7,MAP,Mental health pharma RCT,Unanimous agreement,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators,UNCERTAIN
1031,26974214,10.1097/yic.0000000000000125,Factors associated with relapse in schizophrenia despite adherence to long-acting injectable antipsychotic therapy.,Alphs L.; Nasrallah H.A.; Bossie C.A.; Fu D.J.; Gopal S.; Hough D.; Turkoz I.,International Clinical Psychopharmacology,2016,"Many patients with schizophrenia will relapse despite uninterrupted antipsychotic (AP) long-acting therapy (LAT). This exploratory analysis examined variables associated with relapse despite ensured adherence to LAT. This was a post-hoc exploratory analysis of a 1-year study of risperidone long-acting injection in patients with stable schizophrenia or schizoaffective disorder (NCT00297388; N=323). Patients were discontinued from previous oral APs and randomly assigned to biweekly intramuscular injections of risperidone long-acting injectable 50 (n=163) or 25 mg (n=161) for 52 weeks. Cox proportional hazards regression models examined variables putatively associated with relapse. A total of 59/323 (18.3%) patients relapsed over 12 months despite continuous AP LAT. Variables associated with the risk of relapse included illness duration (6.0% increase each year; P=0.0003) and country (Canada vs. USA, 4.7-fold risk increase; P=0.0008). When illness duration was further categorized as ≤5, 6-10, and >10 years, patients with an illness duration of >10 versus ≤5 years were at greatest risk of relapse (>10 vs. ≤5 years associated with a 4.4-fold increase in the risk of relapse; P=0.0181). Findings suggest that patients with more chronic illness have a greater risk of relapse despite ensured treatment adherence, supporting the need for early intervention to prevent the deleterious effects of chronicity.",7,MAP,Mental health pharma RCT,Unanimous agreement,OUT_OF_SCOPE,secondary_analysis,"Secondary/post-hoc analysis, not main results",UNCERTAIN
1047,29777003,10.2967/jnumed.118.209130,Impact of Reference and Target Region Selection on Amyloid PET SUV Ratios in the Phase 1b PRIME Study of Aducanumab.,Chiao P.; Bedell B.J.; Avants B.; Zijdenbos A.P.; Grand'Maison M.; O'Neill P.; O'Gorman J.; Chen T.; Koeppe R.,Journal of Nuclear Medicine,2019,"SUV ratios (SUVRs) are commonly used to quantify tracer uptake in amyloid-β PET. Here, we explore the impact of target and reference region-of-interest (ROI) selection on SUVR effect sizes using interventional data from the ongoing phase 1b PRIME study (NCT01677572) of aducanumab (BIIB037) in patients with prodromal or mild Alzheimer disease. Methods: The florbetapir PET SUVR was calculated at baseline (screening) and at weeks 26 and 54 for patients randomized to receive placebo and each of 4 aducanumab doses (1, 3, 6, and 10 mg/kg) using the whole cerebellum, cerebellar gray matter, cerebellar white matter, pons, and subcortical white matter as reference regions. In addition to the prespecified composite cortex target ROI, individual cerebral cortical ROIs were assessed as targets. Results: Of the reference regions used, subcortical white matter, cerebellar white matter, and the pons, alone or in combination, generated the largest effect sizes. The use of the anterior cingulate cortex as a target ROI resulted in larger effect sizes than the use of the composite cortex. SUVR calculations were not affected by correction for brain volume changes over time. Conclusion: Dose- and time-dependent reductions in the amyloid PET SUVR were consistently observed with aducanumab only in cortical regions prone to amyloid plaque deposition, regardless of the reference region used. These data support the hypothesis that florbetapir SUVR responses associated with aducanumab treatment are a result of specific dose- and time-dependent reductions in the amyloid burden in patients with Alzheimer disease.",7,MAP,Mental health pharma RCT,Majority rule (2/3); dissent: OUT_OF_SCOPE,OUT_OF_SCOPE,not_mental_health,No MH condition identified,UNCERTAIN
1119,30565793,10.1111/ene.13872,Donepezil for gait and falls in mild cognitive impairment: a randomized controlled trial.,Montero-Odasso M.; Speechley M.; Chertkow H.; Sarquis-Adamson Y.; Wells J.; Borrie M.; Vanderhaeghe L.; Zou G.Y.; Fraser S.; Bherer L.; Muir-Hunter S.W.,European Journal of Neurology,2019,"Background and purpose: Cognitive enhancers are commonly prescribed to people with Alzheimer's disease and related dementias to improve cognition and function. However, their effectiveness for individuals in the pre-stages of dementia, particularly in functional motor outcomes, remains unknown. We aimed to determine the efficacy of donepezil, a cognitive enhancer that improves cholinergic neurotransmission, on gait performance in mild cognitive impairment (MCI). Methods: This was a double-blind, placebo-controlled trial including 60 older adults with MCI, randomized to receive donepezil (10 mg/daily, maximal dose) or placebo. Primary outcome was gait speed (cm/s) under single and three dual-task conditions (counting backwards by 1 or 7 and naming animals) measured using an electronic walkway. Dual-task gait cost (DTC), a valid measure of motor–cognitive interaction, was calculated as the percentage change between single (S) and dual-task (D) gait speeds: [(S − D)/S] × 100. Secondary outcomes included attention, executive function, balance and falls. Results: After 6 months, the donepezil group experienced an improvement in dual-task gait speed (range 4–11 cm/s), although this was not statistically significant. The donepezil group showed a significant reduction in DTC (improvement) by counting backwards by 1 and 7 compared with placebo (10.25% vs. 1.75%, P = 0.048; 21.38% vs. 14.64%, P = 0.037, intention-to-treat analysis). Per-protocol analyses showed that all three DTCs improved in the donepezil group, along with a non-significant reduction of rate of falls. Conclusions: Donepezil treatment improved dual-task gait speed and DTC in elderly patients with MCI. Our results support the concept of reducing falls in MCI by targeting the motor–cognitive interface.",8,MAP,pharmacological_RCT,Majority 2/3; minority voted OUT_OF_SCOPE,OUT_OF_SCOPE,not_mh,Not diagnosed MH condition,UNCERTAIN
1153,36281683,10.14283/jpad.2022.63,"Oral Tau Aggregation Inhibitor for Alzheimer's Disease: Design, Progress and Basis for Selection of the 16 mg/day Dose in a Phase 3, Randomized, Placebo-Controlled Trial of Hydromethylthionine Mesylate.",Wischik C.M.; Bentham P.; Gauthier S.; Miller S.; Kook K.; Schelter B.O.,Journal of Prevention of Alzheimer S Disease,2022,"Background: Hydromethylthionine mesylate is a tau aggregation inhibitor shown to have exposure-dependent pharmacological activity on cognitive decline and brain atrophy in two completed Phase 3 trials in mild/moderate Alzheimer’s disease (AD). Objectives: The present report summarises the basis for selection of 16 mg/day as monotherapy as the optimal treatment regime and the design rationale of a confirmatory Phase 3 trial (LUCIDITY). Design: The trial comprises a 12-month double-blind, placebo-controlled phase followed by a 12-month modified delayed-start open-label treatment phase. Setting: 76 clinical research sites in North America and Europe. Participants: 545 patients with probable AD or MCI-AD in the final version of the protocol. Intervention: Participants were assigned randomly to receive hydromethylthione mesylate at doses of 16 mg/day, 8 mg/day or placebo at a 4:1:4 ratio during the double-blind phase. All participants in the open-label phase receive the 16 mg/day dose. Measurements: Co-primary clinical outcomes are the 11-item Alzheimer’s Disease Assessment Scale (ADAS-cog11) and the 23-item Alzheimer’s Disease Cooperative Study — Activities of Daily Living (ADCS-ADL23). Secondary biomarker measures include whole-brain atrophy and temporal lobe 18F-fluorodeoxyglucose positron emission tomography. Results: 446 participants are expected to complete the 12-month placebo-controlled phase in March 2022. Conclusions: If the primary end points are met, the data will provide confirmatory evidence of the clinical and biomarker benefits of hydromethylthionine mesylate in minimal to moderate AD. As low-dose oral hydromethylthionine mesylate is simple to use clinically, does not cause amyloid-related imaging abnormalities and has a benign safety profile, it would likely improve AD management.",8,MAP,pharmacological_RCT,Unanimous (3/3),OUT_OF_SCOPE,not_mh,Not diagnosed MH condition,UNCERTAIN
1155,33316649,10.1016/j.jpsychires.2020.12.007,Exploring brain insulin resistance in adults with bipolar depression using extracellular vesicles of neuronal origin.,Mansur R.B.; Delgado-Peraza F.; Subramaniapillai M.; Lee Y.; Iacobucci M.; Nasri F.; Rodrigues N.; Rosenblat J.D.; Brietzke E.; Cosgrove V.E.; Kramer N.E.; Suppes T.; Raison C.L.; Fagiolini A.; Rasgon N.; Chawla S.; Nogueras-Ortiz C.; Kapogiannis D.; McIntyre R.S.,Journal of Psychiatric Research,2021,"Accumulating evidence suggests that disrupted insulin signaling is involved in bipolar disorder (BD) pathogenesis. Herein, we aimed to directly explore the potential role of neuronal insulin signaling using an innovative technique based on biomarkers derived from plasma extracellular vesicles enriched for neuronal origin (NEVs). We leveraged plasma samples from a randomized, double-blind, placebo-controlled, 12-week clinical trial evaluating infliximab as a treatment of bipolar depression. We isolated NEVs using immunoprecipitation against neuronal marker L1CAM from samples collected at baseline and weeks 2, 6 and 12 (endpoint) and measured NEV biomarkers using immunoassays. We assessed neuronal insulin signaling at its first node (IRS-1) and along the canonical (Akt, GSK-3β, p70S6K) and alternative (ERK1/2, JNK and p38-MAPK) pathways. A subset of participants (n = 27) also underwent whole-brain magnetic resonance imaging (MRI) at baseline and endpoint. Pre-treatment, NEV biomarkers of insulin signaling were independently associated with cognitive function and MRI measures (i.e. hippocampal and ventromedial prefrontal cortex [vmPFC] volumes). In fact, the association between IRS-1 phosphorylation at serine site 312 (pS312-IRS-1), an indicator of insulin resistance, and cognitive dysfunction was mediated by vmPFC volume. In the longitudinal analysis, patients treated with infliximab, a tumor necrosis factor-alpha antagonist with known insulin sensitizing properties, compared to those treated with placebo, had augmented phosphorylation of proteins from the alternative pathway. Infliximab responders had significant increases in phosphorylated JNK levels, relative to infliximab non-responders and placebo responders. In addition, treatment with infliximab resulted in increase in MRI measures of brain volume; treatment-related changes in the dorsolateral prefrontal cortex volume were mediated by changes in biomarkers from the insulin alternative pathway. In conclusion, our findings support the idea that brain insulin signaling is a target for further mechanistic and therapeutic investigations.",8,MAP,pharmacological_RCT,Unanimous (3/3),OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified,UNCERTAIN
1239,30684794,10.1016/j.psychres.2019.01.066,A randomized comparison of long acting methylphenidate and cognitive behavioral therapy in the treatment of binge eating disorder.,Quilty L.C.; Allen T.A.; Davis C.; Knyahnytska Y.; Kaplan A.S.,Psychiatry Research,2019,"Cognitive behavioral therapy (CBT) is a well-established treatment for binge eating disorder (BED); however, this treatment is underutilized, highlighting the need for additional treatment alternatives. Dopamine neurotransmission has been associated with dysregulated eating, and pharmaceutical agents targeting the dopamine system are associated with decreased binge eating and weight. The primary objective of the current investigation was to evaluate the efficacy of psychostimulant medication versus current best practices in the treatment of BED symptoms, in a randomized trial of methylphenidate versus CBT for BED. The secondary objective was to evaluate the ability of impulsivity to predict treatment outcomes. Female outpatients with BED were randomized to receive methylphenidate (n = 22) or CBT (n = 27) for 12 weeks. The primary outcome was objective binge episode frequency; secondary outcomes included subjective binge episode frequency, body mass index (BMI), BED symptoms, and quality of life. Results showed that both treatments had a significant impact on primary and secondary outcomes. Methylphenidate and CBT were associated with decreases in subjective and objective binge episodes; methylphenidate was associated with greater decreases in BMI. Two impulsivity traits predicted clinical outcomes. Results provide preliminary support for the therapeutic benefit of methylphenidate in BED treatment, and prognostic utility of impulsivity in this context.",9,MAP,pharmacological_rct,Majority rule (2/3); ext1 voted UNCERTAIN,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified,UNCERTAIN
1284,28942807,10.1016/j.jaac.2017.07.790,"A Randomized, Placebo-Controlled Trial of Metformin for the Treatment of Overweight Induced by Antipsychotic Medication in Young People With Autism Spectrum Disorder: Open-Label Extension.",Handen B.L.; Anagnostou E.; Aman M.G.; Sanders K.B.; Chan J.; Hollway J.A.; Brian J.; Arnold L.E.; Capano L.; Williams C.; Hellings J.A.; Butter E.; Mankad D.; Tumuluru R.; Kettel J.; Newsom C.R.; Peleg N.; Odrobina D.; McAuliffe-Bellin S.; Marler S.; Wong T.; Wagner A.; Hadjiyannakis S.; Macklin E.A.; Veenstra-VanderWeele J.,Journal of the American Academy of Child and Adolescent Psychiatry,2017,"Objective A previous study reported on a 16-week placebo-controlled, randomized clinical trial (RCT) of metformin for weight stabilization in 61 children and adolescents 6 to 17 years old with autism spectrum disorder who were prescribed atypical antipsychotics. The present study describes the results of a 16-week open-label extension. Method Fifty-two participants from the acute trial (85%) entered the extension; 22 had been on metformin during the initial RCT and 30 had been on placebo. Participants were re-titrated to 500 mg twice a day (6- to 9-year-olds) or 850 mg twice a day (10- to 17-year-olds) during the open-label extension. Primary outcome measure was change in body mass index (BMI) z-score after 16 weeks; secondary outcomes were change in additional body composition and metabolic parameters. Results After 16 weeks of open-label treatment, participants initially taking placebo during the RCT had lower BMI z-scores (mean 16-week change −0.10, p =.004). Statistically significant improvements also were noted in secondary body composition measures (weight z-score and BMI and weight percentile) but not in metabolic variables. Participants who initially had been taking metformin during the 16-week RCT maintained prior decreases in BMI z-scores but did not have additional weight loss. Three participants discontinued treatment because of an adverse event. No significant changes were noted on metabolic measures, although the decrease in hemoglobin A1c was large (∼1 mmol) and consistent across the acute and open-label phases. Conclusion Metformin can be effective for decreasing weight gain associated with atypical antipsychotic use and maintaining prior improvement in children and adolescents with autism spectrum disorder. Clinical trial registration information—Treatment of Overweight Induced by Antipsychotic Medication in Young People With Autism Spectrum Disorders (ASD); http://clinicaltrials.gov/; NCT01825798.",9,MAP,pharmacological_rct,Majority rule (2/3); ext1 voted UNCERTAIN,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified,UNCERTAIN
1285,31682328,10.1002/da.22964,Comorbid anxiety in late-life depression: Relationship with remission and suicidal ideation on venlafaxine treatment.,Saade Y.M.; Nicol G.; Lenze E.J.; Miller J.P.; Yingling M.; Wetherell J.L.; Reynolds C.F.; Mulsant B.H.,Depression and Anxiety,2019,"Objective: The purpose of this study was to examine the influence of comorbid anxiety symptoms on antidepressant treatment remission in older adults with major depressive disorder (MDD). Method: In this multisite clinical trial, 468 older adults aged 60 years or older with MDD received open-label protocolized treatment with venlafaxine extended release (ER) titrated to a maximum of 300 mg daily. At baseline, anxiety was assessed with the Anxiety Sensitivity Index, the Brief Symptom Inventory (BSI) anxiety subscale, and the Penn State Worry Questionnaire. To measure treatment response, depressive symptoms and suicidality were assessed every 1–2 weeks with the Montgomery–Asberg Depression Rating Scale and the 19-item Scale for Suicide Ideation; anxiety was assessed with the BSI. Logistic regression and survival analysis were used to evaluate whether anxiety symptoms predicted depression remission. We also examined the relationships between anxiety scores and suicidality at baseline. Results: Baseline anxiety symptoms did not predict remission or time to remission of depressive symptoms. Depressive, worry, and panic symptoms decreased in parallel in patients with high anxiety. Anxiety symptoms were associated with the severity of depression and with suicidality. Conclusion: In older adults with MDD, comorbid anxiety symptoms are associated with symptom severity but do not affect antidepressant remission or time to remission.",9,MAP,pharmacological_rct,Majority rule (2/3); ext1 voted UNCERTAIN,OUT_OF_SCOPE,not_rct,Not RCT,UNCERTAIN
1340,33658605,10.1038/s41380-021-01051-y,Peripheral inflammatory biomarkers define biotypes of bipolar depression.,Lee Y.; Mansur R.B.; Brietzke E.; Kapogiannis D.; Delgado-Peraza F.; Boutilier J.J.; Chan T.C.Y.; Carmona N.E.; Rosenblat J.D.; Lee J.G.; Maletic V.; Vinberg M.; Suppes T.; Goldstein B.I.; Ravindran A.V.; Taylor V.H.; Chawla S.; Nogueras-Ortiz C.; Cosgrove V.E.; Kramer N.E.; Ho R.; Raison C.A.; McIntyre R.S.,Molecular Psychiatry,2021,"We identified biologically relevant moderators of response to tumor necrosis factor (TNF)-α inhibitor, infliximab, among 60 individuals with bipolar depression. Data were derived from a 12-week, randomized, placebo-controlled clinical trial secondarily evaluating the efficacy of infliximab on a measure of anhedonia (i.e., Snaith-Hamilton Pleasure Scale). Three inflammatory biotypes were derived from peripheral cytokine measurements using an iterative, machine learning-based approach. Infliximab-randomized participants classified as biotype 3 exhibited lower baseline concentrations of pro- and anti-inflammatory cytokines and soluble TNF receptor-1 and reported greater pro-hedonic improvements, relative to those classified as biotype 1 or 2. Pretreatment biotypes also moderated changes in neuroinflammatory substrates relevant to infliximab's hypothesized mechanism of action. Neuronal origin-enriched extracellular vesicle (NEV) protein concentrations were reduced to two factors using principal axis factoring: phosphorylated nuclear factorκB (p-NFκB), Fas-associated death domain (p-FADD), and IκB kinase (p-IKKα/β) and TNF receptor-1 (TNFR1) comprised factor ""NEV1,"" whereas phosphorylated insulin receptor substrate-1 (p-IRS1), p38 mitogen-activated protein kinase (p-p38), and c-Jun N-terminal kinase (p-JNK) constituted ""NEV2"". Among infliximab-randomized subjects classified as biotype 3, NEV1 scores were decreased at weeks 2 and 6 and increased at week 12, relative to baseline, and NEV2 scores increased over time. Decreases in NEV1 scores and increases in NEV2 scores were associated with greater reductions in anhedonic symptoms in our classification and regression tree model (r2 = 0.22, RMSE = 0.08). Our findings provide preliminary evidence supporting the hypothesis that the pro-hedonic effects of infliximab require modulation of multiple TNF-α signaling pathways, including NF-κB, IRS1, and MAPK.",9,MAP,pharmacological_rct_mental_health,Majority rule (2/3); ext3 voted UNCERTAIN,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified,UNCERTAIN
1347,29689693,10.1016/j.jad.2017.11.081,Vortioxetine improves symptomatic and functional outcomes in major depressive disorder: A novel dual outcome measure in depressive disorders.,"Christensen MC, Loft H, McIntyre RS.",Journal of Affective Disorders,2018,"Background With symptomatic remission and functional recovery as the overarching therapeutic objectives of antidepressant therapy, composite endpoint measures that conjointly consider both aspects of treatment are needed. This analysis evaluated the combined effect of vortioxetine on depressive symptoms and functional capacity in adults with MDD. Methods NCT01564862, a multinational, double-blind, placebo-controlled, duloxetine-referenced study, conducted between April 2012 and February 2014, in 602 adult outpatients (18–65 years) with moderate-to-severe MDD (Montgomery-Åsberg Depression Rating Scale (MADRS) ≥ 26), a major depressive episode of ≥ 3 months’ duration, and self-reported cognitive symptoms were randomized to once-daily vortioxetine (10 or 20 mg), duloxetine (60 mg), or placebo for 8 weeks. Assessments included the University of California San Diego Performance-based Skills Assessment (UPSA) and the MADRS. Two versions of UPSA were utilized; UPSA Validation of Intermediate Measures and UPSA Brief form. An aligned UPSA-B (communication and finance items) was examined for sensitivity analysis. Efficacy was analyzed versus placebo according to the dual response (change from baseline in UPSA ≥ 7 and ≥ 9 and reduction in MADRS total score from baseline ≥ 50%). Results Significantly more vortioxetine-treated patients were classified as dual responders for change in MADRS total score and UPSA score of ≥ 7 (clinically important difference [CID]) (27.4% vs 14.5%; P = 0.004), and change above CID (≥ 9) (23.4% vs 13.9%; P = 0.025). Duloxetine did not differ significantly from placebo for these dual response criteria. Sensitivity analysis using the aligned UPSA-B confirmed these results for vortioxetine. Limitations An exploratory analysis of a new dual outcome measure in patients with MDD. Conclusions Vortioxetine, but not duloxetine, demonstrated a robust combined effect on depressive symptoms and functional capacity in patients with MDD. Trial registration ClinicalTrials.gov identifier: NCT01564862; European Clinical Trials Database [EudraCT] Number 2011–005298-22.",9,MAP,pharmacological_rct,Majority rule (2/3); ext1 voted UNCERTAIN,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified,UNCERTAIN
1385,31547752,10.1177/0891988719874118,"Agitation, Oxidative Stress, and Cytokines in Alzheimer Disease: Biomarker Analyses From a Clinical Trial With Nabilone for Agitation.",Ruthirakuhan M.; Herrmann N.; Andreazza A.C.; Verhoeff N.P.L.G.; Gallagher D.; Black S.E.; Kiss A.; Lanctôt K.L.,Journal of Geriatric Psychiatry and Neurology,2020,"The endocannabinoid system has been a target of interest for agitation in Alzheimer disease (AD) because of potential behavioral effects and its potential impact on mechanisms implicated in AD such as oxidative stress (OS) and neuroinflammation. We explored whether serum markers of OS and neuroinflammation were associated with response to the cannabinoid nabilone in agitated patients with AD (N = 38). All participants were enrolled in a 14-week, double-blind, cross-over trial comparing nabilone to placebo (6 weeks each) with a 1-week washout between phases. Samples were collected at the start and end of each phase. The cross-sectional relationship agitation (Cohen Mansfield Agitation Inventory) and OS and inflammatory markers were investigated to select markers of interest. Significant markers were then explored for their relationship with response. The OS marker, 4-hydroxynonenal (4-HNE; F1, 35 = 6.41, P = .016), and the proinflammatory cytokine, tumor necrosis factor-α (TNF-α; F1, 29 = 3.97, P = .06), were associated with agitation severity, and TNF-α remained significantly associated (F2, 25 = 3.69, P = .04) after adjustment for cognition. In the placebo phase, lower baseline 4-HNE was associated with decreases in agitation severity only (b = 0.01, P = .01), while lower baseline TNF-α was associated with decreases in agitation severity in the nabilone phase only (b = 1.14, P = .045). Changes in 4-HNE were not associated with changes in agitation severity in either phase. In the nabilone phase, lower baseline TNF-α was associated with decreases in agitation severity (b = 1.14, P = .045), and decreases in TNF-α were associated with decreases in agitation severity (b = 1.12, P = .006). These findings suggest that OS and neuroinflammation may be associated with agitation severity, while nabilone may have anti-inflammatory effects.",10,MAP,pharmacological_mental_health,Unanimous agreement; category tiebreak by E1,OUT_OF_SCOPE,not_rct,Not RCT,UNCERTAIN
1462,37936330,10.1093/brain/awad377,Vortioxetine for the treatment of post-COVID-19 condition: a randomized controlled trial.,McIntyre Roger S; Phan Lee; Kwan Angela T H; Mansur Rodrigo B; Rosenblat Joshua D; Guo Ziji; Le Gia Han; Lui Leanna M W; Teopiz Kayla M; Ceban Felicia; Lee Yena; Bailey Julia; Ramachandra Ranuk; Di Vincenzo Joshua; Badulescu Sebastian; Gill Hartej; Drzadzewski Pawel; Subramaniapillai Mehala,Brain : a journal of neurology,2024,"Hitherto no therapeutic has received regulatory approval for the treatment of post-COVID-19 condition (PCC). Cognitive deficits, mood symptoms and significant reduction in health-related quality of life (HRQoL) are highly replicated and debilitating aspects of PCC. We sought to determine the impact of vortioxetine on the foregoing symptoms and HRQoL in persons living with PCC. An 8-week randomized, double-blind, placebo-controlled study of adults ≥ 18 years of age residing in Canada and who are experiencing symptoms of World Health Organization (WHO)-defined PCC, with a history of confirmed SARS-CoV-2 infection, was conducted. Recruitment began November 2021 and ended January 2023. Of the 200 participants enrolled (487 invited: 121 ineligible and 59 eligible but declined participation; 307 cleared pre-screening stage), a total of 149 participants were randomized (1:1) to receive either vortioxetine (5-20 mg, n = 75) or placebo (n = 74) daily for 8 weeks of double-blind treatment (i.e. end point). The primary outcome was the change from baseline-to-end point in the Digit Symbol Substitution Test. Secondary outcomes included the effect on depressive symptoms and HRQoL, as measured by changes from baseline-to-end point on the Quick Inventory of Depressive Symptomatology 16-item and WHO Wellbeing Scale 5-item, respectively. A total of 68 (90.7%) participants randomized to vortioxetine and 73 (98.6%) participants randomized to placebo completed all 8 weeks. Between-group analysis did not show a significant difference in the overall change in cognitive function [P = 0.361, 95% confidence interval (CI) (-0.179, 0.492)]. However, in the fully adjusted model, a significant treatment × time interaction was observed in favour of vortioxetine treatment with baseline c-reactive protein (CRP) as a moderator (P = 0.012). In addition, a significant improvement in Digit Symbol Substitution Test scores were observed in vortioxetine versus placebo treated participants in those whose baseline CRP was above the mean (P = 0.045). Moreover, significant improvement was obtained in measures of depressive symptoms [P < 0.001, 95% CI (-4.378, -2.323)] and HRQoL [P < 0.001, 95% CI (2.297, 4.647)] in vortioxetine-treated participants and between the treatment groups [depressive symptoms: P = 0.026, 95% CI (-2.847, -0.185); HRQoL: P = 0.004, 95% CI (0.774, 3.938)]. Although vortioxetine did not improve cognitive function in the unadjusted model, when adjusting for CRP, a significant pro-cognitive effect was observed; antidepressant effects and improvement in HRQoL in this debilitating disorder were also noted.",10,MAP,pharmacological_mental_health,Unanimous agreement; category tiebreak by E1,UNCERTAIN,pharma_mh_rct,Vortioxetine for post-COVID-19 condition; Canadian RCT; targets cognitive/mood symptoms but PCC is not a DSM-5 MH diagnosis per se; pharma intervention,UNCERTAIN
1474,29700801,10.1007/s12630-018-1088-0,Ketamine-based anesthesia improves electroconvulsive therapy outcomes: a randomized-controlled study.,Gamble J.J.; Bi H.; Bowen R.; Weisgerber G.; Sanjanwala R.; Prasad R.; Balbuena L.,Canadian Journal of Anesthesia,2018,"Background: Major depressive disorder (MDD) is a common and debilitating condition that can be challenging to treat. Electroconvulsive therapy (ECT) is currently the therapeutic gold standard for treatment-resistant MDD. We tested our hypothesis that ketamine-based anesthesia for ECT results in superior improvement in treatment-resistant MDD outcomes compared with propofol-based anesthesia. Methods: Patients with treatment-resistant MDD were enrolled in a randomized clinical trial with assignment to ketamine- or propofol-based anesthesia arms. Using a modified intention-to-treat analysis, we compared the median number of ECT treatments required to achieve a 50% reduction (primary outcome) and a score ≤ 10 (secondary outcome) on the Montgomery-Asberg depression rating scale (MADRS) between anesthesia groups. Results: The study was terminated as significant results were found after the first planned interim analysis with 12 patients in each of the ketamine (intervention) and propofol (control) groups. All ketamine patients achieved at least a 50% MADRS reduction after a median of two ECT treatments whereas ten propofol patients (83%) achieved the same outcome after a median of four ECT treatments. All ketamine patients and seven propofol patients (58%) achieved MDD remission (MADRS ≤ 10). Log rank tests showed that both time-to-50% reduction and remission differed significantly between groups. Adverse events and recovery time were similar between groups. Conclusions: In this early-terminated small-sized study, ketamine-based anesthesia compared with propofol-based anesthesia provided response and remission after fewer ECT sessions. Trial registration: www.clinicaltrials.gov (NCT01935115). Registered 4 September 2013.",10,MAP,pharmacological_mental_health,Unanimous agreement; category tiebreak by E1,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified,UNCERTAIN
